x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mundrika Singh Yadav,800,"76,458",50.9%,Rashtriya Janata Dal,
2,2,Praveen Kumar,800,"46,137",30.7%,Rashtriya Lok Samta Party,
3,3,Santosh Keshari,200,"6,716",4.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Gopal Sharma,200,"3,065",2.0%,Independent,
5,5,Bajrangi Yadav,200,"2,171",1.4%,Independent,
6,6,Arvind Kumar Ray,200,"2,084",1.4%,Bahujan Samaj Party,
7,7,Sanjay Kumar,200,"1,906",1.3%,Shiv Sena,
8,8,Manish Kumar Mishra,200,"1,597",1.1%,Independent,
9,9,Ejaz Ahamd,200,"1,566",1.0%,Jan Adhikar Party (Loktantrik),
10,10,Mahesh Kumar,200,"1,302",0.9%,Independent,
11,11,Dhananjay Kumar,200,982,0.7%,Akhil Bharat Hindu Mahasabha,
12,12,Awais Amber,200,682,0.5%,Nationalist Congress Party,
