x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Surendra Prasad Yadav,800,"71,067",49.4%,Rashtriya Janata Dal,
2,2,Sharim Ali,800,"40,726",28.3%,Hindustani Awam Morcha (Secular),
3,3,Kumar Jitendra,200,"8,114",5.6%,Communist Party Of India,
4,4,Vibha Devi,200,"3,349",2.3%,Akhil Bharat Hindu Mahasabha,
5,5,Sheikh Ayub,200,"2,725",1.9%,Bahujan Samaj Party,
6,6,Anand Kumar,200,"2,225",1.6%,Krantikari Vikas Dal,
7,7,Ashok Yadav,200,"2,222",1.5%,Independent,
8,8,Shahadat Hussain,200,"2,160",1.5%,Bharat Bhrashtachar Mitao Party,
9,9,Sardar Mathura Yadav,200,"2,090",1.5%,Samajwadi Party,
10,10,Ravindra Prasad Verma,200,"2,009",1.4%,National Janta Party (Indian),
11,11,Md Yusuf Ahmad,200,"1,559",1.1%,Sarvajan Kalyan Loktantrik Party,
12,12,Kundan Kumar,200,"1,356",0.9%,Bharat Vikas Morcha,
