x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Prakash Veer,29105,"70,549",45.8%,Rashtriya Janata Dal,
2,2,Arjun Ram,29105,"65,934",42.8%,Bharatiya Janta Party,
3,3,Vinay Paswan,87,"2,987",1.9%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Rakesh Kumar,87,"2,518",1.6%,Bahujan Samaj Party,
5,5,Rajendra Paswan,78,"1,409",0.9%,Republican Party Of India,
6,6,Moti Rajvanshi,78,"1,367",0.9%,Samajwadi Party,
7,7,Mithilesh Rajvanshi,78,804,0.5%,Aam Janata Party,
8,8,Sanjay Kumar Paswan,78,728,0.5%,Nationalist Congress Party,
9,9,Dinesh Kumar,78,641,0.4%,Bharatiya Yuva Party (Democratic),
10,10,Mukesh Kumar,78,609,0.4%,Moolniwasi Samaj Party,
11,11,Mathura Prasad,78,484,0.3%,Garib Janta Dal (Secular),
12,12,Prithvi Raj Basant,78,448,0.3%,Akhil Hind Forward Block,
