x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Purnima Yadav,22981,"43,016",30.6%,Indian National Congress,
2,2,Fula Devi,22981,"38,617",27.5%,Bharatiya Janta Party,
3,3,Md Kamran,4365,"32,646",23.2%,Independent,
4,4,Sarwan Kumar,265,"8,469",6.0%,Independent,
5,5,Ramchandra Rajwar,183,"4,280",3.0%,Independent,
6,6,Satendra Mochi,151,"2,093",1.5%,Independent,
7,7,Mokim Uddin,142,"1,633",1.2%,Bahujan Samaj Party,
8,8,Ram Krishna Mahto,139,"1,614",1.2%,Communist Party Of India,
9,9,Shankar Prasad,139,"1,480",1.1%,Independent,
10,10,Vijay Ram,139,"1,400",1.0%,Moolniwasi Samaj Party,
