x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Savitri Devi,3676,"47,064",31.3%,Rashtriya Janata Dal,
2,2,Sumit Kumar Singh,3676,"34,951",23.3%,Independent,
3,3,Vijay Kumar Singh,1471,"28,535",19.0%,Lok Jan Shakti Party,
4,4,Jowana Hansda,292,"11,068",7.4%,Bahujan Samaj Party,
5,5,Virendra Kumar,192,"5,470",3.6%,Independent,
6,6,Nepali Singh,177,"4,532",3.0%,Jharkhand Mukti Morcha,
7,7,Dharmendra Sinha,146,"2,548",1.7%,Loktantrik Sarvjan Samaj Party,
8,8,Manoj Kumar Pandey,146,"2,309",1.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
9,9,Bajrang Bihari Singh,146,"2,233",1.5%,Independent,
10,10,Abhinav Singh,137,"1,782",1.2%,Independent,
11,11,Nandu Yadav,137,"1,343",0.9%,Independent,
12,12,Rajendra Yadav,137,"1,121",0.8%,Sarvhara Dal,
