x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Syed Abu Dojana,1200,"52,857",33.7%,Rashtriya Janata Dal,
2,2,Amit Kumar,1200,"29,623",18.9%,Independent,
3,3,Pappu Kumar Chaudhary,400,"15,662",10.0%,Independent,
4,4,Shahid Ali Khan,400,"13,954",8.9%,Hindustani Awam Morcha (Secular),
5,5,Nawal Kishor Raut,400,"10,342",6.6%,Communist Party Of India,
6,6,Vijay Kumar,200,"6,740",4.3%,Independent,
7,7,Jai Nandan Prasad Yadav,200,"4,301",2.7%,Independent,
8,8,Uma Shankar Gupta,200,"4,119",2.6%,Independent,
9,9,Nawal Mandal,200,"3,297",2.1%,Independent,
10,10,Mahesh Kumar,200,"2,310",1.5%,Independent,
11,11,Gobind Thakur,200,"2,131",1.4%,Independent,
12,12,Satyanarayan Thakur,200,"1,978",1.3%,Bahujan Mukti Party,
13,13,Manoj Purwe,200,"1,481",1.0%,Samajwadi Party,
14,14,Vijay Kumar Hathi,200,"1,473",0.9%,Independent,
15,15,Bharat Bhushan Sahani,200,"1,369",0.9%,Garib Janta Dal (Secular),
16,16,Santosh Kumar,200,"1,099",0.7%,Bahujan Nyay Dal,
17,17,Sachin Shekhar,200,"1,068",0.7%,Independent,
18,18,Mukesh Kumar Singh,200,970,0.6%,Bahujan Samaj Party,
