x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mangita Devi,2600,"55,699",40.5%,Rashtriya Janata Dal,
2,2,Pankaj Kumar Mishra,2600,"41,589",30.3%,Rashtriya Lok Samta Party,
3,3,Guddi Devi,400,"16,038",11.7%,Samajwadi Party,
4,4,Lal Babu Roy,200,"5,024",3.7%,Independent,
5,5,Vijay Kumar Sah,200,"2,821",2.1%,Independent,
6,6,Devendar Prasad Yadav,200,"1,887",1.4%,Communist Party Of India (MARXIST),
7,7,Shyam Babu Yadav,200,"1,520",1.1%,Bahujan Samaj Party,
8,8,Mrigendra Kumar,200,999,0.7%,Shiv Sena,
9,9,Ram Naresh Bhagat,200,941,0.7%,Independent,
10,10,Arjun Prasad,200,924,0.7%,Independent,
11,11,Kiran Paswan,200,820,0.6%,Rashtravadi Janata Party,
12,12,Chaudhary Khushwant Singh,200,790,0.6%,National Janta Party (Indian),
13,13,Rajaram Paswan,200,598,0.4%,Bahujan Mukti Party,
14,14,Bajrang Bihari Singh,200,565,0.4%,Independent,
