x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sitaram Yadav,7400,"71,534",43.6%,Rashtriya Janata Dal,
2,2,Arun Shankar Prasad,7400,"60,831",37.0%,Bharatiya Janta Party,
3,3,Amiruddin,200,"7,568",4.6%,Communist Party Of India,
4,4,Pursottam Jha,200,"5,523",3.4%,Independent,
5,5,Brajesh Raut,200,"2,440",1.5%,Independent,
6,6,Murari Thakur,200,"2,281",1.4%,Bahujan Samaj Party,
7,7,Ram Kumar Yadav,200,"1,837",1.1%,Samajwadi Party,
8,8,Sonu Kumar Jha,200,"1,782",1.1%,Independent,
9,9,Sudhakar Kumar,200,"1,657",1.0%,Akhil Bharat Hindu Mahasabha,
10,10,Vishwanath Yadav,200,"1,636",1.0%,Independent,
11,11,Amit Kumar Mahto,200,"1,458",0.9%,Aarakshan Virodhi Party,
12,12,Raj Kumar Yadav,200,"1,144",0.7%,Jan Adhikar Party (Loktantrik),
13,13,Prabhakar Jha,200,"1,135",0.7%,Akhil Bhartiya Mithila Party,
14,14,Anand Mohan,200,613,0.4%,Bhartiya Mitra Party,
15,15,Dinesh Thakur,200,548,0.3%,All India Forward Bloc,
