x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Samir Kumar Mahaseth,15770,"76,823",45.3%,Rashtriya Janata Dal,
2,2,Ramdeo Mahto,15770,"69,516",41.0%,Bharatiya Janta Party,
3,3,Naiyar Azam,97,"3,874",2.3%,Samajwadi Party,
4,4,Raju Kumar Raj,89,"3,219",1.9%,Independent,
5,5,Vijay Mahto Alies Sanjay Kumar Mahto,89,"2,539",1.5%,Independent,
6,6,Mithilesh Kumar Das,89,"2,508",1.5%,Bahujan Samaj Party,
7,7,Md. Inamur Rahman,80,"1,907",1.1%,Bhartiya Mitra Party,
8,8,Ranjeet Kumar Jha,80,"1,530",0.9%,Independent,
9,9,Mihir Kumar Jha,80,"1,287",0.8%,Independent,
10,10,Dhrub Narayan Karn,80,936,0.6%,Communist Party Of India (Marxist-Leninist) (Liberation),
11,11,Gopal Pathak,80,717,0.4%,Republican Party Of India (A),
12,12,Dinesh Yadav,80,554,0.3%,Krantikari Samyavadi Party,
