x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Guljar Devi,3924,"64,368",40.6%,Janata Dal (United),
2,2,Ram Sundar Yadav,3924,"50,953",32.1%,Bharatiya Janta Party,
3,3,Jyoti Jha,167,"10,861",6.9%,Independent,
4,4,Umesh Kumar Roy,138,"7,431",4.7%,Communist Party Of India (MARXIST),
5,5,Gauri Shankar Yadav,117,"4,970",3.1%,Jan Adhikar Party (Loktantrik),
6,6,Ram Kumar Yadav,110,"3,785",2.4%,Samajwadi Party,
7,7,Durganand Mandal,100,"2,626",1.7%,Bahujan Samaj Party,
8,8,Shambhu Nath Mishra,100,"2,111",1.3%,Hind Congress Party,
9,9,Aruna Nand Singh,100,"2,065",1.3%,Independent,
10,10,Vijay Kumar Jha,91,"1,493",0.9%,Aadarsh Mithila Party,
11,11,Laxaman Prasad Yadav,91,"1,109",0.7%,Bhartiya Mitra Party,
12,12,Ram Prasad Chaupal,91,"1,005",0.6%,Jammu & Kashmir National Panthers Party,
