x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vinay Varma,2570,"57,212",37.3%,Indian National Congress,
2,2,Renu Devi,2570,"41,151",26.8%,Bharatiya Janta Party,
3,3,Rashmi Verma,2015,"39,200",25.5%,Independent,
4,4,Rambhaju Mahato,118,"2,262",1.5%,Independent,
5,5,Naushad Alam,118,"2,124",1.4%,Bahujan Samaj Party,
6,6,Shailesh Mishra,118,"1,666",1.1%,Independent,
7,7,Prem Narayan Ojha,118,"1,431",0.9%,Shiv Sena,
8,8,Umesh Yadaw,107,"1,359",0.9%,Samajwadi Party,
9,9,Bhot Chaturvedi,107,"1,076",0.7%,Independent,
10,10,Ramesh Paswan,107,"1,072",0.7%,Independent,
11,11,Manish Alam,107,967,0.6%,Nationalist Congress Party,
12,12,Om Shanti Baba,107,956,0.6%,Bharatiya Ekta Dal,
13,13,Mukhtar Miyan,107,799,0.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
14,14,Vinay Sah,107,725,0.5%,Independent,
15,15,Meraj Ahmad,107,432,0.3%,Janta Dal Rashtravadi,
16,16,Nathu Ravi,107,399,0.3%,Bahujan Mukti Party,
