x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Leshi Singh,1200,"75,400",40.0%,Janata Dal (United),
2,2,Shiv Shankar Thakur Allias Shankar Azad,1200,"45,583",24.2%,Rashtriya Lok Samta Party,
3,3,Dilip Kumar Yadav,200,"12,664",6.7%,Jan Adhikar Party (Loktantrik),
4,4,Mithlesh  Kumar Singh,200,"4,972",2.6%,Communist Party Of India (MARXIST),
5,5,Jyoti Rani,200,"4,135",2.2%,Independent,
6,6,Pappu Kumar Ranjan,200,"3,915",2.1%,Independent,
7,7,Yogendra Kumar,200,"3,775",2.0%,Independent,
8,8,Tahammul Mansuri,200,"3,650",1.9%,Jharkhand Mukti Morcha,
9,9,Bimal Roy,200,"3,373",1.8%,Shiv Sena,
10,10,Pankaj Kumar Singh,200,"2,737",1.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
11,11,Chand Dev Paswan,200,"2,544",1.4%,Independent,
12,12,Sudama Kumar,200,"2,242",1.2%,Sarvajan Kalyan Loktantrik Party,
13,13,Tarun Kumar Singh,200,"2,109",1.1%,Bahujan Samaj Party,
14,14,Niranjan Kumar Singh,200,"2,086",1.1%,Independent,
15,15,Sunil Ray,200,"1,764",0.9%,Rashtriya Jankranti Party,
16,16,Nawalesh Pathak,200,"1,551",0.8%,Independent,
17,17,Lokesh Kumar,200,"1,349",0.7%,Independent,
18,18,Md Aftab Alam,200,"1,230",0.7%,Janta Dal Rashtravadi,
19,19,Sanjay Ram,200,"1,217",0.7%,Independent,
20,20,Yogendra Singh,200,"1,211",0.6%,Independent,
21,21,Sunil Kumar Singh,200,"1,109",0.6%,Independent,
22,22,Shrawan Kumar Yadav,200,"1,034",0.6%,Mithilanchal Vikas Morcha,
23,23,Vindeshwari Sharma,200,982,0.5%,Independent,
24,24,Charitra  Rishi,200,937,0.5%,Independent,
25,25,Jyotish Kumar,200,888,0.5%,Lok Dal,
