x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Arun Kumar,800,"102,850",53.0%,Rashtriya Janata Dal,
2,2,Alok Ranjan,800,"63,644",32.8%,Bharatiya Janta Party,
3,3,Sanjana Devi,200,"6,618",3.4%,Jan Adhikar Party (Loktantrik),
4,4,Ramesh Kumar Sharma,200,"3,853",2.0%,Independent,
5,5,Vinod Kumar,200,"3,253",1.7%,Communist Party Of India (MARXIST),
6,6,Ranveer Kumar,200,"1,878",1.0%,Independent,
7,7,Nirmal Mishra,200,"1,125",0.6%,Akhil Bhartiya Mithila Party,
8,8,Madhav Prasad Mukhiya,200,938,0.5%,Sarvajan Kalyan Loktantrik Party,
9,9,Ram Shankar Kumar,200,891,0.5%,Garib Janta Dal (Secular),
10,10,Badri Sharma,200,869,0.5%,Bahujan Kranti Party (Marxwad-Ambedkarwad),
11,11,Kumar Gajendra Singh,200,866,0.5%,Independent,
12,12,Shambhu Sah,200,809,0.4%,Bahujan Samaj Party,
13,13,Naresh Prasad Sah,200,579,0.3%,Bahujan Mukti Party,
14,14,Dhirendra Kumar,200,563,0.3%,National Janta Party (Indian),
