x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Maheshwar Prasad Yadav,52882,"67,313",40.8%,Rashtriya Janata Dal,
2,2,Veena Devi,52882,"63,812",38.7%,Bharatiya Janta Party,
3,3,Ashok Kumar Singh,151,"7,826",4.7%,Independent,
4,4,Vishal Kumar,108,"2,822",1.7%,Janta Dal Rashtravadi,
5,5,Vakil Sahani,108,"2,421",1.5%,Sarvajan Kalyan Loktantrik Party,
6,6,Abdul- Wahab,108,"2,324",1.4%,Bahujan Samaj Party,
7,7,Rani Singh,108,"2,262",1.4%,Independent,
8,8,Md. Najul Ansari,108,"2,112",1.3%,Independent,
9,9,Raghunandan Pd Singh,108,"1,885",1.1%,Independent,
10,10,Jitendra Yadav,108,"1,698",1.0%,Communist Party Of India (Marxist-Leninist) (Liberation),
11,11,Subhash Choudhary,98,"1,445",0.9%,Independent,
12,12,Amrita Singh,98,"1,418",0.9%,Garib Janta Dal (Secular),
13,13,Devendra Prasad Yadav,98,"1,191",0.7%,Samajwadi Party,
14,14,Prabhu Sahani,98,931,0.6%,Bajjikanchal Vikas Party,
15,15,Suraj Sahni,98,891,0.5%,Independent,
16,16,Suresh Kumar,98,713,0.4%,Independent,
17,17,Brajkishore Ray,98,701,0.4%,Bharti Samudaya Party,
18,18,Jivneshwar Jha,98,619,0.4%,All India Forward Bloc,
19,19,Kapildev Singh,98,566,0.3%,Bahujan Kranti Party (Marxwad-Ambedkarwad),
20,20,Kameshwar Thakur,98,489,0.3%,Bhartiya Janhit Dal,
21,21,Kamaldev Ram,98,456,0.3%,Bahujan Mukti Party,
