x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ashok Kumar Singh,4538,"80,445",48.2%,Bharatiya Janta Party,
2,2,Shankar Prasad,4538,"66,906",40.1%,Rashtriya Janata Dal,
3,3,Phooldeo Sahani,83,"2,899",1.7%,Bahujan Samaj Party,
4,4,Vijay Kumar,83,"2,476",1.5%,Independent,
5,5,Sikendar Ram,75,"1,744",1.1%,Independent,
6,6,Avinash Kunwar,73,"1,508",0.9%,Jan Adhikar Party (Loktantrik),
7,7,Nanhak Sah,73,"1,132",0.7%,Socialist Unity Centre Of India (COMMUNIST),
8,8,Rameshwar Sah,73,944,0.6%,Independent,
9,9,Sanjay Kumar Singh,73,748,0.5%,Rashtravadi Janata Party,
10,10,Prakash Kumar,73,650,0.4%,Samras Samaj Party,
11,11,Rajesh Rai,73,582,0.4%,Independent,
12,12,Alok Kumar,73,524,0.3%,Samajwadi Party,
13,13,Badri Nath Bihari,73,472,0.3%,Independent,
