x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Gulab Singh,687,"127,665",54.9%,Aam Aadmi Party,
2,2,Rajesh Gahlot,687,"80,661",34.7%,Bharatiya Janta Party,
3,3,Sumesh Shokeen,100,"20,284",8.7%,Indian National Congress,
4,4,Suresh Kumar Patel,58,728,0.3%,Rashtriya Bahujan Hitay Party,
5,5,Sanjay Kumar,58,723,0.3%,Bahujan Samaj Party,
6,6,Gulab Singh,58,376,0.2%,Independent,
7,7,Ram Bilas Mishra,58,221,0.1%,Independent,
8,8,Shripal,58,188,0.1%,Independent,
9,9,Virendra Kumar Rai,58,155,0.1%,Rashtriya Janmorcha,
10,10,Renu Poddar,58,127,0.1%,Proutist Bloc India,
11,11,Rajesh Kumar Gahlot,58,125,0.1%,Independent,
12,12,Ram Charan Sahani,58,71,0.0%,Shreshthatam Rashtra Party,
13,13,Rajesh,58,55,0.0%,Independent,
