x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kailash Gahlot,108600,"55,598",34.6%,Aam Aadmi Party,
2,2,Bharat Singh,108600,"54,043",33.7%,Indian National Lok Dal,
3,3,Ajeet Singh Kharkhari,2600,"39,462",24.6%,Bharatiya Janta Party,
4,4,Jai Kishan Sharma,200,"8,180",5.1%,Indian National Congress,
5,5,Ram Singh,200,"1,108",0.7%,Bahujan Samaj Party,
6,6,Bharat Singh,200,391,0.2%,Independent,
7,7,Baidyanath Sah,200,350,0.2%,Proutist Bloc India,
8,8,Inderjeet,200,295,0.2%,Independent,
9,9,Lalit Vashist,200,259,0.2%,Independent,
10,10,Dharambir Singh,200,132,0.1%,Independent,
11,11,Kailash Chand,200,85,0.1%,Independent,
12,12,Ajit Singh,200,74,0.1%,Rashtriya Bahujan Hitay Party,
13,13,Neelam,200,70,0.0%,Independent,
