x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Surender Singh,1332,"40,133",51.8%,Aam Aadmi Party,
2,2,Karan Singh Tanwar,1332,"28,935",37.4%,Bharatiya Janta Party,
3,3,Sandeep Tanwar,116,"7,087",9.2%,Indian National Congress,
4,4,Gayan Chand,64,467,0.6%,Bahujan Samaj Party,
5,5,Anil Kumar Tanwar,62,210,0.3%,Independent,
6,6,Sandeep,62,98,0.1%,Independent,
7,7,Heera Lal,62,93,0.1%,Independent,
8,8,Naresh Kumar Sharma,62,45,0.1%,Hind Congress Party,
9,9,Mahesh Bhardwaj,62,26,0.0%,Independent,
10,10,Raj Kumar Saini,62,24,0.0%,Independent,
