x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Arvind Kejriwal,400,"57,213",64.1%,Aam Aadmi Party,
2,2,Nupur Sharma,400,"25,630",28.7%,Bharatiya Janta Party,
3,3,Kiran Walia,200,"4,781",5.4%,Indian National Congress,
4,4,Swami Om Ji,200,373,0.4%,Akhil Bharat Hindu Mahasabha,
5,5,Anil Kumar,200,192,0.2%,Independent,
6,6,Rakesh Kumar,200,168,0.2%,Bahujan Samaj Party,
7,7,Ravi Kumar,200,100,0.1%,Nationalist Congress Party,
8,8,Sunil Kumar Kandukuri,200,94,0.1%,Independent,
9,9,Mohd. Siraj Sahil,200,48,0.1%,Samras Samaj Party,
10,10,Sanjeev Chhibber,200,45,0.1%,Naya Daur Party,
11,11,Sandeep Srivastava,200,34,0.0%,Independent,
12,12,Ajit,200,34,0.0%,Gareeb Aadmi Party,
13,13,Professor R N Singh,200,30,0.0%,Vishva Shakti Party,
