x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Madan Lal,1200,"50,766",51.6%,Aam Aadmi Party,
2,2,Ravinder  Choudhry,1200,"34,870",35.4%,Bharatiya Janta Party,
3,3,Neeraj Basoya,200,"11,233",11.4%,Indian National Congress,
4,4,Ramesh Kumari,200,317,0.3%,Bahujan Samaj Party,
5,5,Brij Pal,200,281,0.3%,Independent,
6,6,Beer Singh Negi,200,276,0.3%,Samata Sangharsh Party,
7,7,Biswambar Nayak,200,83,0.1%,Independent,
8,8,Rekha Wadhwa,200,73,0.1%,Independent,
9,9,Laxmi Devi,200,56,0.1%,Bahujan Mukti Party,
10,10,Wg. Cdr. (RETD.) K. K .VERMA,200,34,0.0%,Naya Daur Party,
11,11,Mukesh Kumar Saxena,200,32,0.0%,Independent,
12,12,Subhash Kansal,200,26,0.0%,Hind Congress Party,
