x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sahi Ram,400,"64,311",62.4%,Aam Aadmi Party,
2,2,Vikram Bidhuri,400,"30,610",29.7%,Bharatiya Janta Party,
3,3,Sachin,200,"4,269",4.1%,Indian National Congress,
4,4,Girraj Singh,200,"2,015",2.0%,Bahujan Samaj Party,
5,5,Manoj Kumar Ray,200,549,0.5%,Independent,
6,6,Abdul Basit,200,236,0.2%,Rashtriya Janata Dal,
7,7,Sachin Kumar,200,223,0.2%,Independent,
8,8,Shalini,200,177,0.2%,Rashtriya Bahujan Congress Party,
9,9,Tejpal Singh,200,173,0.2%,Independent,
10,10,Rekha Singh,200,111,0.1%,Independent,
