x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bijendra Singh,458000,"167,142",26.4%,Indian National Congress, AC View
2,2,Sheela Gautam,458000,"164,351",25.9%,Bharatiya Janta Party, AC View
3,3,Thakur Jaiveer Singh,171200,"159,941",25.2%,Bahujan Samaj Party, AC View
4,4,Dalveer Singh,4000,"117,219",18.5%,Rashtriya Lok Dal, AC View
5,5,Chandra Pal,400,"12,083",1.9%,Labour Party (Secular), AC View
6,6,Satish Kumar,200,"3,686",0.6%,Independent, AC View
7,7,Ram Kishan,200,"2,547",0.4%,Independent, AC View
8,8,Rakesh Kumar,200,"1,544",0.2%,Independent, AC View
9,9,Rajveer,200,"1,175",0.2%,Independent, AC View
10,10,Tej Singh,200,"1,054",0.2%,Ambedkar Samaj Party, AC View
11,11,Bachhu Singh,200,647,0.1%,Independent, AC View
12,12,Prem Singh,200,608,0.1%,Independent, AC View
13,13,Meraj Ali,200,550,0.1%,Rashtriya Swabhimaan Party, AC View
14,14,Mahesh Pratap,200,403,0.1%,Rashtriya Vikas Party, AC View
15,15,Amreek Singh,200,370,0.1%,Independent, AC View
16,16,Mahendra Pal,200,365,0.1%,Bharatiya Sarvkalyan Krantidal, AC View
