x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kamla Prasad,21000,"196,370",36.4%,Bahujan Samaj Party, AC View
2,2,Ram Sagar,21000,"175,448",32.5%,Samajwadi Party, AC View
3,3,Ram Naresh Rawat,1400,"115,994",21.5%,Bharatiya Janta Party, AC View
4,4,Anand Prakash Gautam,200,"24,757",4.6%,Indian National Congress, AC View
5,5,Sohan Lal,200,"9,259",1.7%,Independent, AC View
6,6,Ram Singh,200,"4,673",0.9%,Apna Dal, AC View
7,7,Anil Kumar,200,"3,614",0.7%,Rashtriya Swabhimaan Party, AC View
8,8,Jagat Jeet,200,"3,287",0.6%,Independent, AC View
9,9,Rajesh Kumar,200,"2,785",0.5%,Independent, AC View
10,10,Guru Lal,200,"2,565",0.5%,Independent, AC View
11,11,Guddi Raj Paasi,200,"1,499",0.3%,Bharat Kranti Rakshak Party, AC View
