x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Munshiram S/o Sri Ramcharan Singh,2600,"301,599",42.7%,Rashtriya Lok Dal, AC View
2,2,Ghan Shyam Chandr Kharwar,2600,"221,424",31.4%,Bahujan Samaj Party, AC View
3,3,Sheesh Ram Singh Ravi,400,"101,340",14.4%,Bharatiya Janta Party, AC View
4,4,Jiraj Singh,200,"32,396",4.6%,Indian National Congress, AC View
5,5,Munshiram S/o Shri Makhhan,200,"9,191",1.3%,Independent, AC View
6,6,Suraj Kumar,200,"6,634",0.9%,Muslim League Kerala State Committee, AC View
7,7,Harkes Singh,200,"5,672",0.8%,Pichhra Samaj Party, AC View
8,8,Mahender Kumar,200,"5,113",0.7%,Momin Conference, AC View
9,9,Man Singh Ashok,200,"3,662",0.5%,Independent, AC View
10,10,Jai Mala,200,"3,622",0.5%,Independent, AC View
11,11,Vijay Singh,200,"3,268",0.5%,Bahujan Kisan Dal, AC View
12,12,Satya Narayan,200,"3,173",0.4%,Republican Party Of India (A), AC View
13,13,Udit Raj,200,"2,995",0.4%,Indian Justice Party, AC View
14,14,Ghan Shyam,200,"2,362",0.3%,Independent, AC View
15,15,Bhishan Parsad,200,"2,314",0.3%,Bharatiya Republican Paksha, AC View
16,16,Ratan Singh,200,972,0.1%,Indian Bahujan Samajwadi Party, AC View
