x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dharmendra,12600,"517,802",48.2%,Bharatiya Janta Party, AC View
2,2,Rameshwar Lal,12600,"460,627",42.8%,Indian National Congress, AC View
3,3,Arjan Ram,200,"38,729",3.6%,Bahujan Samaj Party, AC View
4,4,Surendra Kumar Gandhi,200,"13,281",1.2%,Independent, AC View
5,5,Shyam Sunder,200,"11,540",1.1%,Independent, AC View
6,6,Dilip Singh Marwal,200,"10,664",1.0%,Indian National Lok Dal, AC View
7,7,Saroj,200,"7,786",0.7%,Independent, AC View
8,8,Dr. Mohan Lal Sharma,200,"5,196",0.5%,Independent, AC View
9,9,Ram Lal,200,"3,848",0.4%,Independent, AC View
10,10,Mahavir Prasad,200,"2,818",0.3%,Lokpriya Samaj Party, AC View
11,11,Rajendra Singh,200,"1,998",0.2%,Samajwadi Party, AC View
12,12,Brij Gopal,200,"1,762",0.2%,Independent, AC View
13,13,Jasvindra Singh,200,"1,313",0.1%,Independent, AC View
