x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Venkatapathy. K,1089,"400,059",52.8%,Dravida Munetra Kazhagam, AC View
2,2,Rajendran. R,1089,"268,707",35.4%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Sarwar Khan. E,116,"53,406",7.0%,Janata Dal (United), AC View
4,4,Veerapatran. P. M,80,"13,664",1.8%,Independent, AC View
5,5,Santhiyaguraj. M,73,"5,766",0.8%,Bahujan Samaj Party, AC View
6,6,Rajendiran. M,73,"5,030",0.7%,Independent, AC View
7,7,Vijaykumar. P,73,"3,544",0.5%,Independent, AC View
8,8,Thiyagarajan. R,73,"2,599",0.3%,Independent, AC View
9,9,Ravi. K,73,"2,327",0.3%,Independent, AC View
10,10,Dharmalingam Marur. N,73,"1,936",0.3%,Rashtriya Lok Dal, AC View
11,11,Murugan. C,73,"1,373",0.2%,Independent, AC View
12,12,Govindan. M,73,920,0.1%,Independent, AC View
13,13,Dhanakotti. G,73,849,0.1%,Independent, AC View
