x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Chandra Shekhar Dubey,2000,"355,499",37.8%,Indian National Congress, AC View
2,2,Rita Verma,2000,"236,121",25.1%,Bharatiya Janta Party, AC View
3,3,A. K. Roy,600,"147,470",15.7%,Marxist Coordination, AC View
4,4,Samresh Singh,400,"106,234",11.3%,Independent, AC View
5,5,Dina Bandhu Singh,200,"18,628",2.0%,Socialist Party (LOHIA), AC View
6,6,Dilip Bauri,200,"11,588",1.2%,Independent, AC View
7,7,Pyare Lal Mahato,200,"8,720",0.9%,Independent, AC View
8,8,Shankar Kumar Mukherjee,200,"8,140",0.9%,Independent, AC View
9,9,Jagdish Kewat,200,"7,712",0.8%,Bahujan Samaj Party, AC View
10,10,Sunil Bauri,200,"7,670",0.8%,Independent, AC View
11,11,Swapan Mukherjee,200,"7,497",0.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
12,12,Satyanarayan Jha,200,"7,047",0.7%,Independent, AC View
13,13,Md. Yunus Ansari,200,"4,342",0.5%,Lok Jan Shakti Party, AC View
14,14,Shakuntala Mishra,200,"4,042",0.4%,Shiv Sena, AC View
15,15,Teklal Mahato,200,"2,460",0.3%,Independent, AC View
16,16,C. P. Pandey,200,"2,338",0.2%,Independent, AC View
17,17,Miloni Madi,200,"2,090",0.2%,Independent, AC View
18,18,Ishwar Lal Mahato,200,"2,019",0.2%,Independent, AC View
19,19,Munsi Hembram,200,"1,861",0.2%,Independent, AC View
