x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Afajal Ansari,600,"415,687",47.8%,Samajwadi Party, AC View
2,2,Manoj,600,"188,910",21.7%,Bharatiya Janta Party, AC View
3,3,Uma Shankar,600,"185,120",21.3%,Bahujan Samaj Party, AC View
4,4,Ajay,200,"34,188",3.9%,Suheldev Bhartiya Samaj Party, AC View
5,5,Shivprakash,200,"12,648",1.5%,Indian National Congress, AC View
6,6,Ram Badan,200,"7,418",0.9%,Communist Party Of India, AC View
7,7,Sonhu,200,"6,694",0.8%,Independent, AC View
8,8,Shivmurat,200,"4,129",0.5%,Independent, AC View
9,9,Anil Kumar,200,"3,617",0.4%,Independent, AC View
10,10,Kamlesh,200,"3,392",0.4%,Independent, AC View
11,11,Ishwari Prasad Kushawaha,200,"2,216",0.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
12,12,Dr Manoj Kumar Nishad,200,"1,264",0.1%,Apna Dal, AC View
13,13,Rajaram,200,"1,220",0.1%,Rashtriya Swabhimaan Party, AC View
14,14,Yogesh Nath Kushawaha,200,929,0.1%,Rashtriya Samanta Dal, AC View
15,15,Nandlal,200,896,0.1%,Ambedkar Samaj Party, AC View
16,16,Ajeet Singh,200,856,0.1%,Independent, AC View
