x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Tek Lal Mahto,702,"350,255",49.0%,Jharkhand Mukti Morcha, AC View
2,2,Ravindra Kumar Pandey,702,"200,461",28.1%,Bharatiya Janta Party, AC View
3,3,Inderdeo Mahato,180,"81,722",11.4%,Janata Dal (United), AC View
4,4,Raj Kishore Mahato,113,"32,284",4.5%,All Jharkhand Students Union, AC View
5,5,Kamal Sahu,88,"13,620",1.9%,Bahujan Samaj Party, AC View
6,6,Sanjay Kumar Singh,88,"9,810",1.4%,Independent, AC View
7,7,Ibnul Hasan Basru,78,"6,435",0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
8,8,Abhay Kumar Singh,78,"5,316",0.7%,Samajwadi Party, AC View
9,9,Sukhdeo Mahto,78,"4,229",0.6%,Rashtriya Lok Dal, AC View
10,10,Kailash Chandra Mahto,78,"3,781",0.5%,Jharkhand Party, AC View
11,11,Kiran Raj,78,"3,631",0.5%,Lok Jan Shakti Party, AC View
12,12,Budhi Nath Tiwari,78,"2,834",0.4%,Independent, AC View
