x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rajnarayan Alias Rajju Mahraj,8400,"220,917",36.6%,Samajwadi Party, AC View
2,2,Ashok Kumar Singh Chandel,8400,"183,763",30.4%,Bahujan Samaj Party, AC View
3,3,Thakur Ram Lal,1000,"111,673",18.5%,Indian National Congress, AC View
4,4,Surendra Pal Singh,400,"44,418",7.4%,Bharatiya Janta Party, AC View
5,5,Hargovind,200,"12,667",2.1%,Independent, AC View
6,6,Suresh Kumar,200,"10,458",1.7%,Independent, AC View
7,7,Lakhan,200,"4,827",0.8%,Independent, AC View
8,8,Ashok,200,"4,058",0.7%,Apna Dal, AC View
9,9,Rakesh,200,"2,777",0.5%,Independent, AC View
10,10,Lallu Prasad,200,"2,023",0.3%,Independent, AC View
11,11,Yogendra Singh,200,"1,470",0.2%,Independent, AC View
12,12,Baladin,200,"1,426",0.2%,Independent, AC View
13,13,Om Prakash,200,"1,383",0.2%,Independent, AC View
14,14,Ram Bihari,200,"1,307",0.2%,Independent, AC View
15,15,Girjacharan,200,932,0.2%,Independent, AC View
