x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,K. Francis George,3800,"353,905",48.6%,Kerala Congress, AC View
2,2,Benny Behanan,3800,"284,521",39.1%,Indian National Congress, AC View
3,3,S T B Mohandas,200,"58,290",8.0%,Bharatiya Janta Party, AC View
4,4,C K Janu,200,"11,628",1.6%,Independent, AC View
5,5,Vijayan,200,"7,379",1.0%,Independent, AC View
6,6,T C Thankappan,200,"5,073",0.7%,Bahujan Samaj Party, AC View
7,7,P R Suresh Kumar,200,"2,750",0.4%,Independent, AC View
8,8,Aravindan,200,"2,464",0.3%,Independent, AC View
9,9,Ashraf,200,"2,195",0.3%,Independent, AC View
10,10,Dr T A Babu,200,"1,221",0.2%,Independent, AC View
