x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Minati Sen,800,"424,163",47.9%,Communist Party Of India (MARXIST), AC View
2,2,Parash Dutta,800,"243,558",27.5%,All India Trinamool Congress, AC View
3,3,Dipak Krishna Bhowmik,400,"130,255",14.7%,Indian National Congress, AC View
4,4,Nachhir Ali Pramanik,200,"19,316",2.2%,Independent, AC View
5,5,Subhasish Dasgupta,200,"18,473",2.1%,Independent, AC View
6,6,Shankar Kumar Ganguli,200,"14,745",1.7%,Independent, AC View
7,7,Santi Kumar Sarkar,200,"13,687",1.5%,Bahujan Samaj Party, AC View
8,8,Bhim Chandra Roy,200,"13,527",1.5%,Independent, AC View
9,9,Sankar Das,200,"7,278",0.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
10,10,Pabitra Maitra,200,"5,103",0.6%,Amara Bengali, AC View
