x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Parasnath Yadava,20000,"219,614",30.8%,Samajwadi Party, AC View
2,2,Om Prakash Dubey (baba Dubey),20000,"192,489",27.0%,Bahujan Samaj Party, AC View
3,3,Dhananjay Singh,1200,"117,397",16.4%,Lok Jan Shakti Party, AC View
4,4,Chinmayanand,1000,"110,148",15.4%,Bharatiya Janta Party, AC View
5,5,Keshav Prasad Maurya,400,"28,971",4.1%,Apna Dal, AC View
6,6,Ramji Modanwal,200,"14,597",2.0%,Suheldev Bhartiya Samaj Party, AC View
7,7,Rajesh Kumar,200,"11,181",1.6%,Independent, AC View
8,8,Mahendra Prasad Maurya,200,"6,347",0.9%,Pragtisheel Manav Samaj Party, AC View
9,9,Bhagirathi,200,"4,303",0.6%,Shikshit Berozgar Sena, AC View
10,10,Lakshmi Narayan Upadhyay,200,"4,267",0.6%,Indian Justice Party, AC View
11,11,Jaitun Bind,200,"3,700",0.5%,Bharatiya Republican Paksha, AC View
