x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Beni Prasad Verma,63200,"219,920",38.6%,Samajwadi Party, AC View
2,2,Arif Mohammad Khan,63200,"207,260",36.4%,Bharatiya Janta Party, AC View
3,3,Farid Mahfooz Ki,800,"112,027",19.7%,Bahujan Samaj Party, AC View
4,4,Gyanendra Pratap Singh,200,"10,154",1.8%,Indian National Congress, AC View
5,5,Shri Pal,200,"9,226",1.6%,Independent, AC View
6,6,Suresh Chandra,200,"2,587",0.5%,Independent, AC View
7,7,Ved Prakash,200,"2,455",0.4%,Independent, AC View
8,8,Arjun Singh Patel,200,"2,178",0.4%,Apna Dal, AC View
9,9,Durgesh Singh,200,"1,528",0.3%,Independent, AC View
10,10,Dhani Ram,200,"1,324",0.2%,Independent, AC View
11,11,Udai Pratap,200,"1,291",0.2%,Independent, AC View
