x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Palanisamy, K. C.",600,"450,407",60.6%,Dravida Munetra Kazhagam, AC View
2,2,"Palanichamy,  Raja. N",600,"259,531",34.9%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Jawahar. N,200,"14,552",2.0%,Independent, AC View
4,4,Nagarajan. H,200,"5,672",0.8%,Jharkhand Party, AC View
5,5,Rathinasamy. C,200,"5,578",0.8%,Independent, AC View
6,6,Murugesan. R,200,"1,243",0.2%,Independent, AC View
7,7,Arumugam. P,200,"1,162",0.2%,Independent, AC View
8,8,Palanisamy. K,200,946,0.1%,Independent, AC View
9,9,Manivasagam. R,200,876,0.1%,Independent, AC View
10,10,Selvakumar. L K,200,776,0.1%,Independent, AC View
11,11,Sakthivel. A. K,200,756,0.1%,Independent, AC View
12,12,Chandramohan. R,200,728,0.1%,Independent, AC View
13,13,Senthilkumar. K,200,689,0.1%,Independent, AC View
14,14,Sakthevel. P,200,676,0.1%,Independent, AC View
