x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Dr. Ramkrishna Kushmariya "" Baba Jee """,1462,"332,458",43.1%,Bharatiya Janta Party, AC View
2,2,Satyavrat Chaturvedi (VINOD BHAIYA),1462,"220,677",28.6%,Indian National Congress, AC View
3,3,Ashok Vir Vikram Singh ( BHAIYA RAJA ),333,"117,639",15.2%,Samajwadi Party, AC View
4,4,Ad. Brijmohan Kushwaha,145,"39,194",5.1%,Bahujan Samaj Party, AC View
5,5,Vinod,119,"22,511",2.9%,Independent, AC View
6,6,Patel Rameshwar,103,"10,692",1.4%,Independent, AC View
7,7,Kashiram,91,"7,332",0.9%,Independent, AC View
8,8,Ramkishore Kushwah,91,"7,259",0.9%,Independent, AC View
9,9,Ramprasad,91,"6,401",0.8%,Independent, AC View
10,10,Dasai ( DASAIYA ),91,"4,707",0.6%,Independent, AC View
11,11,Kushwaha Karan,91,"3,572",0.5%,Independent, AC View
