x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ajit  Jogi,1400,"414,647",53.8%,Indian National Congress, AC View
2,2,Vidhya Charan Shukla,1400,"296,142",38.4%,Bharatiya Janta Party, AC View
3,3,Sultan Singh Satnam,82,"20,836",2.7%,Independent, AC View
4,4,Rajendra Kumar,77,"12,007",1.6%,Bahujan Samaj Party, AC View
5,5,Ganpat Saraipali,69,"7,519",1.0%,Independent, AC View
6,6,Ten Singh,69,"6,809",0.9%,Chhattisgarhi Samaj Party, AC View
7,7,Dharamdas Mahilang,69,"5,468",0.7%,Independent, AC View
8,8,Shridhar Patel,69,"3,502",0.5%,Apna Dal, AC View
9,9,Comred Shikha Das (PATRAKAR),69,"2,416",0.3%,Loktantrik Samajwadi Party, AC View
10,10,Siyaram Dharitlahre,69,"2,086",0.3%,Akhil Bharat Hindu Mahasabha, AC View
