x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Inderjit Singh,439,"358,714",42.3%,Indian National Congress, AC View
2,2,Dr. Sudha Yadav,439,"148,373",17.5%,Bharatiya Janta Party, AC View
3,3,Raghu Yadav,322,"121,062",14.3%,Samajwadi Party, AC View
4,4,Swami Dharam Dev,306,"115,154",13.6%,Indian National Lok Dal, AC View
5,5,Rohtash,171,"56,181",6.6%,Bahujan Samaj Party, AC View
6,6,Anil Rao,131,"30,134",3.5%,Haryana Vikas Party, AC View
7,7,Satbir Kundu,95,"7,207",0.8%,Independent, AC View
8,8,Comrade Rajender Singh Advocate,95,"3,286",0.4%,Independent, AC View
9,9,Ajay Kumar,95,"2,939",0.3%,Rashtriya Vikas Party, AC View
10,10,Ram Kishan,95,"1,683",0.2%,Bharatiya Republican Paksha, AC View
11,11,Naresh,95,"1,495",0.2%,Independent, AC View
12,12,Bhagat Bal Kishan Saini,95,"1,439",0.2%,Independent, AC View
13,13,Alakh Mohan Mathur,95,908,0.1%,Independent, AC View
14,14,Ved Prakash,95,730,0.1%,Niswarth Sewa Party, AC View
