x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mani Shankar Aiyar,400,"411,160",59.3%,Indian National Congress, AC View
2,2,Manian. O S,400,"215,469",31.1%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Rajan. J,200,"49,124",7.1%,Janata Dal (United), AC View
4,4,Rahmathullah. U,200,"8,335",1.2%,Independent, AC View
5,5,Malarvizhi. D,200,"3,573",0.5%,Independent, AC View
6,6,Gunasekaran. N,200,"2,384",0.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
7,7,Soundarrajan. B,200,"1,773",0.3%,Independent, AC View
8,8,Chakravarthy. K,200,"1,587",0.2%,Independent, AC View
9,9,Ganesan. Mavai,200,"1,198",0.2%,Independent, AC View
10,10,Raja. R,200,"1,024",0.1%,Jharkhand Party, AC View
