x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Narendra Kumar Kushwaha,10686,"201,942",27.7%,Bahujan Samaj Party, AC View
2,2,Veerendra Singh,10686,"165,530",22.7%,Bharatiya Janta Party, AC View
3,3,Sharda Prasad,7221,"158,011",21.7%,Samajwadi Party, AC View
4,4,Rajesh Pati Tripathi,3541,"140,735",19.3%,Indian National Congress, AC View
5,5,Prem Chand Bind,246,"21,365",2.9%,Pragtisheel Manav Samaj Party, AC View
6,6,Anwar,224,"17,350",2.4%,Apna Dal, AC View
7,7,Sanjay,188,"9,798",1.3%,Independent, AC View
8,8,Tribhuvan Prasad Chauhan,159,"3,336",0.5%,Rashtriya Krantikari Samajwadi Party, AC View
9,9,Dr. Karnail Singh,159,"2,560",0.4%,Independent, AC View
10,10,Vinay Kumar Omar,159,"1,966",0.3%,Parivartan Samaj Party, AC View
11,11,Sharda Prasad Rajpasi,159,"1,835",0.3%,Bharat Kranti Rakshak Party, AC View
12,12,Algu Prasad,159,"1,823",0.3%,Rashtriya Swabhimaan Party, AC View
13,13,Pradeep Kumar,159,"1,764",0.2%,Shiv Sena, AC View
