x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,P. C. Thomas (PULLOLIL),739200,"256,411",34.5%,Indian Federal Democratic Party, AC View
2,2,Adv P M Ismail,739200,"255,882",34.4%,Communist Party Of India (MARXIST), AC View
3,3,Jose K Mani,8000,"209,880",28.2%,Kerala Congress(M), AC View
4,4,P P Santhosh,200,"4,603",0.6%,Independent, AC View
5,5,K N Rajasekharan Nair,200,"3,156",0.4%,Independent, AC View
6,6,Adv P C Thomas (PEEDIAKKAL),200,"3,118",0.4%,Independent, AC View
7,7,K T Mathew,200,"2,220",0.3%,Independent, AC View
8,8,P C Thomas (PAZHIYANKAL),200,"2,071",0.3%,Independent, AC View
9,9,P Appukkuttan,200,"2,001",0.3%,Independent, AC View
10,10,Ismail,200,"1,481",0.2%,Independent, AC View
11,11,Mahin Badusha Moulavy,200,"1,449",0.2%,Independent, AC View
12,12,P A Ismail,200,"1,246",0.2%,Independent, AC View
13,13,A M Ismail,200,842,0.1%,Independent, AC View
14,14,K M Mani,200,647,0.1%,Independent, AC View
15,15,Johny Mani,200,557,0.1%,Independent, AC View
16,16,Jose Joseph,200,307,0.0%,Independent, AC View
