x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Vijayan, A. K. S.",400,"463,389",61.8%,Dravida Munetra Kazhagam, AC View
2,2,Archunan. P J,400,"247,166",33.0%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Ramesh. S G M,200,"17,090",2.3%,Janata Dal (United), AC View
4,4,Murugesan. K,200,"9,480",1.3%,Independent, AC View
5,5,Balaguru. A,200,"4,207",0.6%,Bahujan Samaj Party, AC View
6,6,Kumar. T,200,"3,811",0.5%,Independent, AC View
7,7,Kemburaj. G,200,"2,113",0.3%,Independent, AC View
8,8,Kumar. K,200,"1,361",0.2%,Independent, AC View
9,9,Ingersal. N,200,"1,155",0.2%,Independent, AC View
10,10,Karunakaran. S,200,926,0.1%,Independent, AC View
11,11,Ezhilan. G,200,738,0.1%,Independent, AC View
