x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Maneka Gandhi,1400,"255,615",37.8%,Bharatiya Janta Party, AC View
2,2,Satyapal Gangwar,1400,"152,895",22.6%,Samajwadi Party, AC View
3,3,Anis Ahmad Khan Alias Phool Babu,800,"121,269",17.9%,Bahujan Samaj Party, AC View
4,4,V.M Singh,600,"106,186",15.7%,Indian National Congress, AC View
5,5,Krishna Adhikari,200,"11,804",1.7%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
6,6,Motiram Rajput,200,"11,027",1.6%,Independent, AC View
7,7,Mahendra Singh,200,"4,967",0.7%,Independent, AC View
8,8,Satyendra,200,"3,194",0.5%,Apna Dal, AC View
9,9,Babu Ram,200,"2,272",0.3%,Independent, AC View
10,10,Paramjeet Sharma,200,"2,203",0.3%,Independent, AC View
11,11,Kulbinder Singh,200,"2,030",0.3%,Independent, AC View
12,12,Puranlal,200,"1,363",0.2%,Rashtriya Swabhimaan Party, AC View
13,13,Mahavir Singh,200,"1,251",0.2%,Akhil Bhartiya Rajarya Sabha, AC View
14,14,Manohar Lal,200,"1,031",0.2%,Ekta Krandi Dal U.P., AC View
