x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Uday Singh Alias Pappu Singh,90600,"244,426",34.5%,Bharatiya Janta Party, AC View
2,2,Rajesh Ranjan Alias Pappu Yadav,90600,"231,543",32.7%,Lok Jan Shakti Party, AC View
3,3,Jeevachha Paswan,400,"57,021",8.0%,Independent, AC View
4,4,Dr. Irshad Ahmad Khan,400,"47,301",6.7%,Samajwadi Party, AC View
5,5,Raj Kumar Hembram,200,"25,609",3.6%,Jharkhand Disom Party, AC View
6,6,Awadesh Ku Mandal,200,"21,619",3.0%,Independent, AC View
7,7,Satya Narayan Ram,200,"18,378",2.6%,Independent, AC View
8,8,Neelam Devi,200,"16,569",2.3%,Independent, AC View
9,9,Jai Krishna Mandal,200,"14,160",2.0%,Samata Party, AC View
10,10,Syed Sahid Raja,200,"7,976",1.1%,Bahujan Samaj Party, AC View
11,11,Madhavi Sarkar,200,"7,595",1.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
12,12,Lalit Mohan Singh,200,"6,740",1.0%,Independent, AC View
13,13,Md. Riauzuddin,200,"4,056",0.6%,Independent, AC View
14,14,Prakash Kumar Singh,200,"3,302",0.5%,Apna Dal, AC View
15,15,Upendra Nath Sagar,200,"2,720",0.4%,Rashtriya Lok Dal, AC View
