x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mohite Subodh Baburao,68261,"276,720",42.8%,Shiv Sena, AC View
2,2,Dr. Shrikant Jichkar,68261,"262,618",40.6%,Indian National Congress, AC View
3,3,Prof Chandansingh Premsingh Rotele,192,"55,442",8.6%,Bahujan Samaj Party, AC View
4,4,Tekam Vasudeorao Zituji,110,"15,647",2.4%,Gondvana Gantantra Party, AC View
5,5,Sofi Mahammad Junedbaba,103,"12,109",1.9%,Independent, AC View
6,6,Keshaorao Shende,103,"9,046",1.4%,Vidharbha Rajya Party, AC View
7,7,Chandrashekhar Namdeorao Bhimate,92,"4,671",0.7%,Independent, AC View
8,8,Tiwari Dinesh Shivshankar,92,"4,664",0.7%,Independent, AC View
9,9,Baban Parasram Taywade,92,"3,586",0.6%,Ambedkarist Republican Party, AC View
10,10,Nayana Dhawad  (PANDE),92,"2,980",0.5%,Vidharbha Janata Congress, AC View
