x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ram Chandra Paswan,1000,"394,240",55.2%,Lok Jan Shakti Party, AC View
2,2,Dashai Chaudhary,1000,"255,829",35.8%,Janata Dal (United), AC View
3,3,Lal Bahadur Sada,200,"18,829",2.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
4,4,Halchal Ram,200,"16,820",2.4%,Independent, AC View
5,5,Satrudhan Kumar Paswan,200,"6,584",0.9%,Samajwadi Party, AC View
6,6,Sanatan Kumar Sathi,200,"5,128",0.7%,Bahujan Samaj Party, AC View
7,7,Gulab Paswan,200,"4,960",0.7%,Apna Dal, AC View
8,8,Nandjee Ram,200,"4,959",0.7%,Independent, AC View
9,9,Kripanath Ram,200,"3,406",0.5%,Independent, AC View
10,10,Kedar Paswan,200,"3,043",0.4%,Shiv Sena, AC View
