x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rasheed Masood,44000,"353,272",35.7%,Samajwadi Party, AC View
2,2,Mansoor Ali Khan,44000,"326,444",33.0%,Bahujan Samaj Party, AC View
3,3,Ch. Yashpal Singh,2000,"230,346",23.3%,Bharatiya Janta Party, AC View
4,4,Tara Chandra Shastri,400,"51,067",5.2%,Indian National Congress, AC View
5,5,Sushil,200,"8,173",0.8%,Independent, AC View
6,6,Shahid Urf Pooja,200,"5,248",0.5%,Independent, AC View
7,7,Prakash Sharma,200,"3,630",0.4%,Republican Party Of India, AC View
8,8,Yogendra,200,"3,173",0.3%,Independent, AC View
9,9,Mohseen,200,"2,258",0.2%,Indian National Lok Dal, AC View
10,10,Raveendra Kumar,200,"2,176",0.2%,Independent, AC View
11,11,Brij Pal Singh,200,"1,592",0.2%,Indian Justice Party, AC View
12,12,Mohd. Hussain Jilani,200,"1,415",0.1%,Muslim League Kerala State Committee, AC View
13,13,Mohammad Arif,200,862,0.1%,Independent, AC View
14,14,Badrool,200,759,0.1%,Independent, AC View
