x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Meira Kumar,218,"416,673",59.8%,Indian National Congress, AC View
2,2,Muni Lall,218,"158,411",22.7%,Bharatiya Janta Party, AC View
3,3,Madan Ram,129,"96,580",13.9%,Bahujan Samaj Party, AC View
4,4,Dukhi Ram,61,"9,936",1.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
5,5,Ashok Kumar,61,"3,587",0.5%,Samata Party, AC View
6,6,Sudarshan Ram,61,"3,403",0.5%,Independent, AC View
7,7,Shiv Kumar Mushehar,61,"2,142",0.3%,Apna Dal, AC View
8,8,Vashishth Paswan,61,"2,131",0.3%,Independent, AC View
9,9,Ram Bachan Ram,61,"1,896",0.3%,Samajwadi Party, AC View
10,10,Tengar Paswan,61,"1,386",0.2%,Independent, AC View
11,11,Phekhu Ram,61,"1,123",0.2%,Independent, AC View
