x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dhanaraju. K,2200,"367,849",50.5%,Pattali Makkal Katchi, AC View
2,2,Arunmozhithevan. A,2200,"276,685",38.0%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Gopalakrishnan. P,200,"29,915",4.1%,Janata Dal (United), AC View
4,4,Mohamed Ali Jinna. M,200,"10,987",1.5%,Independent, AC View
5,5,Perumal. S,200,"8,083",1.1%,Independent, AC View
6,6,Veethus Durai Raj. L,200,"6,737",0.9%,Independent, AC View
7,7,Ellangovan. Aranga,200,"6,650",0.9%,Independent, AC View
8,8,Ranganathan. S,200,"5,338",0.7%,Independent, AC View
9,9,Rayar. K,200,"3,938",0.5%,Bahujan Samaj Party, AC View
10,10,Soundararajan. N K,200,"3,443",0.5%,Independent, AC View
11,11,Navaneethe Krishnan. B,200,"1,540",0.2%,Independent, AC View
12,12,Sekar. I M,200,"1,401",0.2%,Independent, AC View
13,13,Ashok Kumar. P N,200,990,0.1%,Independent, AC View
14,14,Salvam. M,200,844,0.1%,Independent, AC View
15,15,Iniyadayalan. G,200,725,0.1%,Independent, AC View
16,16,Kuzandaivelu. T,200,701,0.1%,Independent, AC View
17,17,Arasan. K,200,625,0.1%,Independent, AC View
18,18,Kasi. G,200,472,0.1%,Independent, AC View
