x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dr. Satyanarayan Jatiya,3600,"369,744",51.4%,Bharatiya Janta Party, AC View
2,2,Premchand Guddu,3600,"299,341",41.6%,Indian National Congress, AC View
3,3,Hukumchand,200,"18,797",2.6%,Independent, AC View
4,4,Babulal Thawlia,200,"9,495",1.3%,Bahujan Samaj Party, AC View
5,5,Sitaram Gujrati,200,"6,181",0.9%,Samajwadi Party, AC View
6,6,Mangilal,200,"5,495",0.8%,Independent, AC View
7,7,Vikram Singh Chandravanshi,200,"4,824",0.7%,Independent, AC View
8,8,Premchand Gunddu,200,"2,657",0.4%,Independent, AC View
9,9,Prakash Solanki,200,"1,527",0.2%,Independent, AC View
10,10,Anil Kumar,200,"1,467",0.2%,Independent, AC View
11,11,December Bairwa,200,"1,252",0.2%,Independent, AC View
