Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sanwar Lal Jat,637874,1482,55.2%,Bharatiya Janta Party
2,Sachin Pilot,465891,1482,40.3%,Indian National Congress
3,Sanwar Lal,12149,67,1.1%,Nationalist Congress Party
4,Jagdish,7974,67,0.7%,Bahujan Samaj Party
5,Surendra Kumar Jain,5184,67,0.4%,Independent
6,Bhanwar Lal Soni,4970,67,0.4%,Independent
7,Narain Das Sindhi,3518,67,0.3%,Independent
8,Mukul Mishra,1869,67,0.2%,Akhil Bharat Hindu Mahasabha
9,Jagdish Singh Rawat,1374,67,0.1%,Independent
10,Ramlal,1040,67,0.1%,Akhil Bhartiya Aamjan Party
11,Krishna Kumar Dadhich,1015,67,0.1%,Independent
12,Anita Jain,910,67,0.1%,Independent
