Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dasrath Tirkey,362453,91117,29.6%,All India Trinamool Congress
2,Manohar Tirkey,341056,91117,27.9%,Revolutionary Socialist Party
3,Birendra Bara (ORAON),335857,59628,27.4%,Bharatiya Janta Party
4,Joseph Munda,116718,472,9.5%,Indian National Congress
5,Eliash Narjinary,11039,157,0.9%,Bahujan Samaj Party
6,Paul Dexion Khariya,10450,157,0.9%,Independent
7,Dr. Kapin Ch. Boro,7676,140,0.6%,Independent
8,Subash Chik Baraik,7131,140,0.6%,Socialist Unity Centre Of India (COMMUNIST)
9,Ishabela Kujur,5961,140,0.5%,Rashtriya Janadhikar Suraksha Party
10,Bilkan Bara,5340,140,0.4%,Samajwadi Jan Parishad
