Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kothapalli Geetha,413191,3150,45.4%,Yuvajana Sramika Rythu Congress Party
2,Gummidi Sandhyarani,321793,3150,35.4%,Telugu Desam
3,Kishore Chandra Deo,52884,132,5.8%,Indian National Congress
4,Midiyam Baburao,38898,122,4.3%,Communist Party Of India (MARXIST)
5,Kangala Baludora,23215,102,2.6%,Independent
6,Chetti Sankararao,8951,85,1.0%,Independent
7,Burjabariki Dhanaraju,8569,85,0.9%,Aam Aadmi Party
8,Sallangi Ratnam,7688,85,0.8%,Independent
9,Biddika Ramaiah,7587,85,0.8%,Independent
10,Iilla Rami Reddy,5692,85,0.6%,Independent
11,Vanugu Sankararao,4614,85,0.5%,Independent
