Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Chaudhary Haribhai Parthibhai,507856,603,57.3%,Bharatiya Janta Party
2,Patel Joitabhai Kasnabhai,305522,603,34.5%,Indian National Congress
3,Mahant Parsotamgiri Turantgiri,11175,62,1.3%,Bahujan Samaj Party
4,Babaji Thakor,10897,62,1.2%,Independent
5,Solanki Saybabhai Nanabhai,7207,62,0.8%,Independent
6,Sanjaykumar Somnathbhai Raval,6571,62,0.7%,Aam Aadmi Party
7,Solanki Dineshkumar Aljibhai,5388,62,0.6%,Independent
8,Mahendrabhai Kesarabhai Bumbadia,3302,62,0.4%,Independent
9,Shrimali Ashokbhai Balchndbhai,2535,62,0.3%,Independent
10,Dabhi Navajibhai Madhabhai,2118,62,0.2%,Independent
11,Madhu Nirupaben Natvarlal,2064,62,0.2%,Independent
12,Choudhary Adambhai Nasirbhai,2007,62,0.2%,Samajwadi Party
13,Thakor Bhupataji Ravaji,1770,62,0.2%,Independent
14,Gamar Vadhabhai Radhabhai,825,62,0.1%,Independent
