Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Col. Sona Ram,488747,6128,40.1%,Bharatiya Janta Party
2,Jaswant Singh,401286,6128,32.9%,Independent
3,Harish Chaudhary,220881,532,18.1%,Indian National Congress
4,Rama Ram,17563,111,1.4%,Independent
5,Mangilal Gaur,14906,111,1.2%,Aam Aadmi Party
6,Master Bhairaram Meghwal,13924,111,1.1%,Independent
7,Malam Singh,12883,111,1.1%,Bahujan Samaj Party
8,Khet Singh Rajpurohit,12366,111,1.0%,Independent
9,Popatram,7557,99,0.6%,Independent
10,Babulal,6737,99,0.6%,Independent
11,Mahant Arjunpuri,6380,99,0.5%,Independent
