Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ramesh Jigajinagi,471757,6567,48.8%,Bharatiya Janta Party
2,Prakash Rathod,401938,6567,41.6%,Indian National Congress
3,K Shivram,57551,122,6.0%,Janata Dal (Secular)
4,Shridhar Narayankar,4717,80,0.5%,Aam Aadmi Party
5,Hunnur Maraganna Malappa,3795,80,0.4%,Independent
6,Sudhakar Kanamadi,2818,80,0.3%,Bahujan Samaj Party
7,Hanmant Mother-Basalingavva Holer,2775,80,0.3%,Independent
8,Siddappa B Ganji,2691,80,0.3%,Independent
9,Rudresh Dayappa Dodamani,2259,80,0.2%,Independent
10,Satish Asangihal,2194,80,0.2%,Independent
11,Shrikant Devendrappa Arakeri,1930,80,0.2%,Karunaadu Party
12,Raju Shrimant Padaganur,1422,80,0.1%,Independent
13,Bhagwan Dharmanna Kambale,1340,80,0.1%,Republican Party Of India (A)
14,Ravi (RAJESH) Y VALLYAPUR,1283,80,0.1%,Independent
