Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr Mahendra Nath Pandey,414135,1200,42.2%,Bharatiya Janta Party
2,Anil Kumar Maurya,257379,1200,26.2%,Bahujan Samaj Party
3,Ramkishun,204145,800,20.8%,Samajwadi Party
4,Tarun Patel Urf Tarunendra Chand Patel,27194,200,2.8%,Indian National Congress
5,Irshad,15598,200,1.6%,Aam Aadmi Party
6,Dr. Haridwar Singh Yadav,8756,200,0.9%,Janata Dal (United)
7,Rajendra,7767,200,0.8%,Pragatisheel Manav Samaj Party
8,Raja Jaiswal,6170,200,0.6%,All India Trinamool Congress
9,Sanjeev Singh,4993,200,0.5%,Suheldev Bhartiya Samaj Party
10,Heeralal,4768,200,0.5%,Bahujan Mukti Party
11,Rajnarayan,4221,200,0.4%,Independent
12,Vinai Kumar Singh,3882,200,0.4%,Indian National League
13,Shashi Sinha,2988,200,0.3%,Ex-Sainik Kissan Party
14,Bindu,2769,200,0.3%,Independent
15,Jitendra,2502,200,0.3%,Gondvana Gantantra Party
16,Ram Dular,2386,200,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
17,Sanjay,2148,200,0.2%,Independent
18,Gulavas,1482,200,0.2%,Independent
19,Ramashanker Singh Maurya,1423,200,0.1%,Bhartiya Samajik Kranti Dal
20,Chanchal,1362,200,0.1%,Janta Raj Party
21,Mritunjaya Pandey,1318,200,0.1%,Jan Raksha Party
