Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sunil Kumar Singh,295862,426,41.5%,Bharatiya Janta Party
2,Dhiraj Prasad Sahu,117836,426,16.5%,Indian National Congress
3,Nilam Devi,104176,357,14.6%,Jharkhand Vikas Morcha (Prajatantrik)
4,Nagmani,35674,153,5.0%,Ajsu Party
5,Keshwar Yadav,29754,146,4.2%,Samajwadi Party
6,Banwari Saw,21261,127,3.0%,Communist Party Of India
7,Sima Chandravansi,17980,127,2.5%,Aam Aadmi Party
8,Haji Jainul Abedin,14929,120,2.1%,Bahujan Samaj Party
9,Raj Kumar Pahan,10771,110,1.5%,Rashtriya Deshaj Party
10,Ramnaresh Singh,8341,110,1.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,Naushad Alam,7841,110,1.1%,All India Trinamool Congress
12,Balwant Kumar,6845,98,1.0%,Jharkhand Party
13,Sudhanshu Suman,5843,98,0.8%,Independent
14,Mahesh Singh Yadav,5783,98,0.8%,Janata Dal (United)
15,Sagar Ram,5743,98,0.8%,Akhil Bharat Hindu Mahasabha
16,Chandradeo Thakur,4725,98,0.7%,Socialist Party (India)
17,Mistar Alam Asrafee,4647,98,0.7%,Rashtriya Jankranti Morcha
18,Anil Kumar Oraon,4209,98,0.6%,Independent
19,Ashish Bhushan Pathak,2944,98,0.4%,Independent
20,Robin Singh,2016,98,0.3%,Independent
