Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. J. Jayavardhan,438404,2000,40.5%,All India Anna Dravida Munnetra Kazhagam
2,T.K.S.Elangovan,301779,2000,27.9%,Dravida Munetra Kazhagam
3,La.Ganesan,256786,1200,23.8%,Bharatiya Janta Party
4,S.V. Ramani,24420,200,2.3%,Indian National Congress
5,Jahir Hussain. M,17312,200,1.6%,Aam Aadmi Party
6,A. Jaiganesh,4501,200,0.4%,Lok Satta Party
7,Ganesan S,1730,200,0.2%,Socialist Unity Centre Of India (COMMUNIST)
8,K.R.Ramaswamy@traffic Ramaswamy,1670,200,0.2%,Independent
9,V. Balaji,1540,200,0.1%,Bahujan Samaj Party
10,S. Seethalakshmi,1303,200,0.1%,Tamil Nadu Makkal Congress
11,T.K. Ramajayam,1194,200,0.1%,Independent
12,A. Irudayadass,963,200,0.1%,Independent
13,Kanthavel D,878,200,0.1%,Independent
14,S. Pragasam,648,200,0.1%,Independent
15,T. Ponnusamy,539,200,0.0%,Independent
16,(KUPPAL)G.DEVADOSS,514,200,0.0%,Independent
17,K. Shankar,504,200,0.0%,Independent
18,Colonel Kadar Basha,434,200,0.0%,Independent
19,S. Balamurali,420,200,0.0%,Independent
20,S.S.Radhakrishnan,376,200,0.0%,Independent
21,R. Kandasamy@babu,374,200,0.0%,Ambedkar People's Movement
22,T. Dhanasekar,332,200,0.0%,National Organisation Congress
23,K. Mani,275,200,0.0%,Janata Dal (United)
24,Pon. Siva Kumar,274,200,0.0%,Independent
25,J.S. Mahalingam,269,200,0.0%,Independent
26,S. Balu,264,200,0.0%,Independent
27,S. Charumathi,261,200,0.0%,Independent
28,Bhavani Janakiram,247,200,0.0%,Independent
29,Joseph Gunasekar,245,200,0.0%,Independent
30,B. Kumar Sri Sri,236,200,0.0%,Independent
31,S. Devadoss,235,200,0.0%,Independent
32,M. Arumugam,219,200,0.0%,Independent
33,R. Ravichandran,216,200,0.0%,Independent
34,S. Sesu Raj,201,200,0.0%,Independent
35,M. Jayaraman,194,200,0.0%,Independent
36,Thangaraj,189,200,0.0%,Independent
37,S. Parthiban,175,200,0.0%,Independent
38,S. Rajeshwari,155,200,0.0%,Independent
39,Rajini Nivetha,142,200,0.0%,Independent
40,A. Magesh,121,200,0.0%,Independent
41,Loganathan,117,200,0.0%,Independent
42,S. Veeramani,105,200,0.0%,Independent
