Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rahul Kaswan,595756,448,52.7%,Bharatiya Janta Party
2,Abhinesh Maharshi,301017,448,26.6%,Bahujan Samaj Party
3,Pratap Singh,176912,196,15.6%,Indian National Congress
4,Krishan Kumar Saran,13977,70,1.2%,Aam Aadmi Party
5,Indrasingh Jat,10778,70,1.0%,Communist Party Of India (MARXIST)
6,Salim Gujar,4018,70,0.4%,Independent
7,Gordhan Sarswat,3991,70,0.4%,All India Trinamool Congress
8,Rajpal,3727,70,0.3%,Independent
9,Ajay Kumar,2938,70,0.3%,Independent
10,Syopat Ram,2330,70,0.2%,Bharatiya Sant Mat Party
11,Mohammad Ali Khan,2313,70,0.2%,Bahujan Sangharshh Dal
12,Toruram Meghwal,2054,70,0.2%,Bahujan Mukti Party
