Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Bhartruhari Mahatab,526085,294,53.8%,Biju Janata Dal
2,Aparajita Mohanty,219323,294,22.4%,Indian National Congress
3,Samir Dey,146093,177,14.9%,Bharatiya Janta Party
4,Mahameghabahan Aira Kharabela Swain,58246,98,6.0%,Aama Odisha Party
5,Sanjay Kumar Sahoo,5733,69,0.6%,Independent
6,Bikash Das,4531,69,0.5%,Aam Aadmi Party
7,Pramod Kumar Mallick,3639,69,0.4%,Bahujan Samaj Party
8,Binapani Das,2171,69,0.2%,Socialist Unity Centre Of India (COMMUNIST)
9,Jibesh Kishore Sundaray,2082,69,0.2%,All India Trinamool Congress
10,Sabyasachi Mahapatra,1812,69,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
