Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kirti Azad,314949,17683,38.0%,Bharatiya Janta Party
2,Md. Ali Ashraf Fatmi,279906,17683,33.8%,Rashtriya Janata Dal
3,Sanjay Kumar Jha,104494,359,12.6%,Janata Dal (United)
4,Kedar Ku. Keshav,25277,144,3.1%,Shiv Sena
5,Pravin Kumar Jha,16125,126,1.9%,Independent
6,Haday Na. Yadav,11606,118,1.4%,Communist Party Of India (MARXIST)
7,Krishna Kumar Paswan,10080,118,1.2%,Independent
8,Colonel Lakshmeshwar Mishra,9111,118,1.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
9,Durga Nand Mahavir Nayak,8835,118,1.1%,Bahujan Samaj Party
10,Dr. Prabhat Ranjan Das,7550,118,0.9%,Aam Aadmi Party
11,Pradeep Paswan,5963,106,0.7%,Independent
12,Sadre Alam Khan,4558,106,0.6%,Akhil Bhartiya Mithila Party
13,Jainath,2956,106,0.4%,Bahujan Mukti Party
14,Brahmadeo Prasad Karyee,2929,106,0.4%,Bajjikanchal Vikas Party
15,Faisal Ahmad,2900,106,0.4%,Janta Dal Rashtravadi
