Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rekha,360357,1945,34.0%,Bharatiya Janta Party
2,Daud Ahmad,234682,1945,22.1%,Bahujan Samaj Party
3,Anand Bhadauriya,234032,1930,22.1%,Samajwadi Party
4,Kuwar Jitin Prasad,170994,768,16.1%,Indian National Congress
5,Lekhraj,12776,138,1.2%,All India Trinamool Congress
6,Anand Kumar,9967,138,0.9%,Nationalist Congress Party
7,Ajay Verma,6144,123,0.6%,Bharatiya Jan Kranti Dal (Democratic)
8,Sukhvindra Singh,4021,123,0.4%,Nav Bharat Democratic Party
9,Vivek Mishra,3745,123,0.4%,Naitik Party
10,Swami Dayal,3491,123,0.3%,Independent
11,Vijay Kumar Tiwari,3333,123,0.3%,Independent
12,Kirti Singh,2788,123,0.3%,Shiv Sena
13,Ram Bali,2144,123,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
14,Mala Devi,1929,123,0.2%,Vanchitsamaj Insaaf Party
15,Rajendra Kumar Singh,1730,123,0.2%,Peace Party
