Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Shibu Soren,335815,16878,37.2%,Jharkhand Mukti Morcha
2,Sunil Soren,296785,16878,32.9%,Bharatiya Janta Party
3,Babu Lal Marandi,158122,649,17.5%,Jharkhand Vikas Morcha (Prajatantrik)
4,Chhaya Kole,26442,148,2.9%,Communist Party Of India
5,Shrilal Kisku,10347,122,1.1%,Independent
6,Pulis Hemram,10283,122,1.1%,Independent
7,Baghrai Soren,9436,122,1.0%,Independent
8,Sokol Hansda,9059,122,1.0%,Bahujan Samaj Party
9,Babulal Soren,6284,109,0.7%,All India Trinamool Congress
10,Bitiya Manjhi,5813,109,0.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,Joshil Murmu,4567,109,0.5%,Independent
12,Stephan Besra,4310,109,0.5%,Jharkhand Disom Party
13,Sahadeo Soren,3739,109,0.4%,Aam Aadmi Party
14,Umanath Kole,3733,109,0.4%,Independent
